,class,cap-shape,cap-surface,cap-color,odor,gill-attachment,gill-spacing,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population
0,p,x,s,n,p,f,c,k,e,e,s,s,w,p,w,o,p,k,s
1,e,x,s,y,a,f,c,k,e,c,s,s,w,p,w,o,p,n,n
2,e,b,s,w,l,f,c,n,e,c,s,s,w,p,w,o,p,n,n
3,p,x,y,w,p,f,c,n,e,e,s,s,w,p,w,o,p,k,s
4,e,x,s,g,n,f,w,k,t,e,s,s,w,p,w,o,e,n,a
5,e,x,y,y,a,f,c,n,e,c,s,s,w,p,w,o,p,k,n
6,e,b,s,w,a,f,c,g,e,c,s,s,w,p,w,o,p,k,n
7,e,b,y,w,l,f,c,n,e,c,s,s,w,p,w,o,p,n,s
8,p,x,y,w,p,f,c,p,e,e,s,s,w,p,w,o,p,k,v
9,e,b,s,y,a,f,c,g,e,c,s,s,w,p,w,o,p,k,s
10,e,x,y,y,l,f,c,g,e,c,s,s,w,p,w,o,p,n,n
11,e,x,y,y,a,f,c,n,e,c,s,s,w,p,w,o,p,k,s
12,e,b,s,y,a,f,c,w,e,c,s,s,w,p,w,o,p,n,s
13,p,x,y,w,p,f,c,k,e,e,s,s,w,p,w,o,p,n,v
14,e,x,f,n,n,f,w,n,t,e,s,f,w,p,w,o,e,k,a
15,e,s,f,g,n,f,c,k,e,e,s,s,w,p,w,o,p,n,y
16,e,f,f,w,n,f,w,k,t,e,s,s,w,p,w,o,e,n,a
17,p,x,s,n,p,f,c,n,e,e,s,s,w,p,w,o,p,k,s
18,p,x,y,w,p,f,c,n,e,e,s,s,w,p,w,o,p,n,s
19,p,x,s,n,p,f,c,k,e,e,s,s,w,p,w,o,p,n,s
20,e,b,s,y,a,f,c,k,e,c,s,s,w,p,w,o,p,n,s
21,p,x,y,n,p,f,c,n,e,e,s,s,w,p,w,o,p,n,v
22,e,b,y,y,l,f,c,k,e,c,s,s,w,p,w,o,p,n,s
23,e,b,y,w,a,f,c,w,e,c,s,s,w,p,w,o,p,n,n
24,e,b,s,w,l,f,c,g,e,c,s,s,w,p,w,o,p,k,s
25,p,f,s,w,p,f,c,n,e,e,s,s,w,p,w,o,p,n,v
26,e,x,y,y,a,f,c,n,e,c,s,s,w,p,w,o,p,n,n
27,e,x,y,w,l,f,c,w,e,c,s,s,w,p,w,o,p,n,n
28,e,f,f,n,n,f,c,k,e,e,s,s,w,p,w,o,p,k,y
29,e,x,s,y,a,f,w,n,t,b,s,s,w,p,w,o,p,n,v
30,e,b,s,y,l,f,c,g,e,c,s,s,w,p,w,o,p,n,n
31,p,x,y,w,p,f,c,k,e,e,s,s,w,p,w,o,p,n,s
32,e,x,y,y,l,f,c,n,e,c,s,s,w,p,w,o,p,n,n
33,e,x,y,n,l,f,c,p,e,r,s,y,w,p,w,o,p,n,y
34,e,b,y,y,l,f,c,n,e,c,s,s,w,p,w,o,p,n,s
35,e,x,f,y,l,f,w,w,t,b,s,s,w,p,w,o,p,n,v
36,e,s,f,g,n,f,c,k,e,e,s,s,w,p,w,o,p,k,v
37,p,x,y,n,p,f,c,w,e,e,s,s,w,p,w,o,p,n,s
38,e,x,f,y,a,f,w,p,t,b,s,s,w,p,w,o,p,n,v
39,e,b,s,y,l,f,c,k,e,c,s,s,w,p,w,o,p,k,s
40,e,b,y,y,a,f,c,n,e,c,s,s,w,p,w,o,p,n,s
41,e,x,y,y,l,f,c,n,e,r,s,y,w,p,w,o,p,k,y
42,e,x,f,n,n,f,c,g,e,e,s,s,w,p,w,o,p,k,y
